Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
Data,1,0.0,0.0,1296.293718693656,0.0,1217.086281306344,456.22,0.0,540.4,0,0,0.0,3510,1217.086281306344
Data,2,0.0,0.0,1742.5482387279226,0.0,926.8517612720772,467.4,0.0,537.2,0,0,0.0,3674,926.8517612720774
Data,3,0.0,0.0,2148.695451297342,0.0,630.5545487026579,476.35,0.0,540.4,0,0,0.0,3796,630.5545487026579
Data,4,0.0,0.0,2131.780954855013,0.0,666.6190451449872,590.4,0.0,537.2,0,0,0.0,3926,666.6190451449869
Data,5,0.0,0.0,2086.7992056677635,0.0,727.6907943322369,646.31,0.0,537.2,0,0,0.0,3998,727.6907943322365
Data,6,0.0,0.0,2232.8840329784744,0.0,567.2059670215255,621.71,0.0,537.2,0,0,0.0,3959,567.2059670215256
Data,7,-0.0,0.0,2985.4895027581374,0.0,190.58079724186254,615.0,0.0,235.9297,0,0,0.0,4027,190.5807972418626
Data,8,-0.0,0.0,3243.018188217411,0.0,76.00181178258924,527.78,0.0,35.2,0,0,0.0,3882,76.00181178258894
Data,9,-0.0,0.0,3760.053464801217,0.0,0.0,415.96,0.0,35.2,0,148.21346480121696,0.0,4063,-148.21346480121713
Data,10,-0.0,0.0,2592.952041274129,0.0,1202.6479587258718,369.0,0.0,38.4,0,0,0.0,4203,1202.647958725871
Data,11,-0.0,0.0,2760.316755735813,0.0,875.2332442641871,360.05,0.0,38.4,0,0,0.0,4034,875.2332442641871
Data,12,-0.0,0.0,1946.3901294535779,0.0,1707.0,349.99,0.0,41.6,0,-38.019870546421984,0.0,4083,1745.0198705464222
Data,13,-0.0,0.0,2017.721936903601,0.0,1415.988063096399,337.69,0.0,41.6,0,0,0.0,3813,1415.988063096399
Data,14,-0.0,0.0,2045.9168254862316,0.0,1478.9931745137683,337.69,0.0,38.4,0,0,0.0,3901,1478.9931745137685
Data,15,-0.0,0.0,2144.4334795135865,0.0,1376.9365204864134,352.23,0.0,38.4,0,0,0.0,3912,1376.9365204864134
Data,16,-0.0,0.0,2692.557951879791,0.0,768.6520481202094,399.19,0.0,41.6,0,0,0.0,3902,768.6520481202092
Data,17,-0.0,0.0,2905.820802508148,0.0,555.8991974918517,490.88,0.0,38.4,0,0,0.0,3991,555.899197491852
Data,18,-0.0,0.0,2380.429521866046,0.0,1021.4504781339547,640.72,0.0,38.4,0,0,0.0,4081,1021.4504781339541
Data,19,-0.0,0.0,2165.6502182888744,0.0,1180.6797817111255,693.27,0.0,189.4,0,0,0.0,4229,1180.6797817111255
Data,20,0.0,0.0,2004.9811355365375,0.0,1316.9388644634626,638.48,0.0,192.6,0,0,0.0,4153,1316.9388644634626
Data,21,0.0,0.0,2105.894741625456,0.0,1179.8552583745438,537.85,0.0,189.4,0,0,0.0,4013,1179.855258374544
Data,22,0.0,0.0,2401.853599269126,0.0,772.876400730874,471.87,0.0,189.4,0,0,0.0,3836,772.8764007308741
Data,23,0.0,0.0,2345.035763286183,0.0,738.8842367138175,441.68,0.0,189.4,0,0,0.0,3715,738.8842367138171
Data,24,0.0,0.0,2082.6502968118616,0.0,731.4897031881388,428.26,0.0,543.6,0,0,0.0,3786,731.4897031881384
Data,25,0.0,0.0,1852.5912519120861,0.0,886.538748087914,422.67,0.0,537.2,0,0,0.0,3699,886.5387480879137
Data,26,0.0,0.0,1970.8764253609731,0.0,919.5935746390272,438.33,0.0,537.2,0,0,0.0,3866,919.5935746390269
Data,27,0.0,0.0,1632.1233128321135,0.0,1307.6766871678867,492.0,0.0,537.2,0,0,0.0,3969,1307.6766871678865
Data,28,0.0,0.0,1950.8378479425407,0.0,931.1121520574591,630.65,0.0,540.4,0,0,0.0,4053,931.1121520574593
Data,29,0.0,0.0,1854.9275786434137,0.0,1026.0224213565866,679.85,0.0,537.2,0,0,0.0,4098,1026.0224213565862
Data,30,0.0,0.0,2169.7818529507554,0.0,619.7681470492445,655.25,0.0,537.2,0,0,0.0,3982,619.7681470492446
Data,31,-0.0,0.0,2351.441135006618,0.0,790.9088649933819,532.25,0.0,189.4,0,0,0.0,3864,790.908864993382
Data,32,-0.0,0.0,2364.9091969632605,0.0,847.5008030367396,448.39,0.0,35.2,0,0,0.0,3696,847.5008030367395
Data,33,-0.0,0.0,3081.185362990363,0.0,184.03463700963718,355.58,0.0,35.2,0,0,0.0,3656,184.03463700963698
Data,34,-0.0,0.0,2539.7647440518826,0.0,737.6152559481177,333.22,0.0,38.4,0,0,0.0,3649,737.6152559481174
Data,35,-0.0,0.0,2961.1500689814493,0.0,291.7899310185506,329.86,0.0,35.2,0,0,0.0,3618,291.7899310185507
Data,36,-0.0,0.0,2787.3975374108354,0.0,379.2124625891643,349.99,0.0,38.4,0,0,0.0,3555,379.2124625891646
Data,37,-0.0,0.0,2018.8747155502635,0.0,997.1752844497368,328.75,0.0,35.2,0,0,0.0,3380,997.1752844497364
Data,38,-0.0,0.0,2632.4623363852675,0.0,285.3676636147328,336.57,0.0,41.6,0,0,0.0,3296,285.3676636147325
Data,39,-0.0,0.0,2555.3690628186846,0.0,212.78093718131586,335.45,0.0,38.4,0,0,0.0,3142,212.7809371813154
Data,40,-0.0,0.0,2757.459130407866,0.0,18.620869592134312,345.52,0.0,38.4,0,0,0.0,3160,18.620869592134206
Data,41,-0.0,0.0,2785.399740923137,0.0,79.92025907686337,417.08,0.0,41.6,0,0,0.0,3324,79.92025907686306
Data,42,-0.0,0.0,2580.007062319515,0.0,452.72293768048456,471.87,0.0,38.4,0,0,0.0,3543,452.72293768048485
Data,43,-0.0,0.0,2351.4522480624883,0.0,748.407751937512,506.54,0.0,192.6,0,0,0.0,3799,748.4077519375118
Data,44,0.0,0.0,2080.991331821402,0.0,1009.9586681785978,507.65,0.0,189.4,0,0,0.0,3788,1009.9586681785979
Data,45,0.0,0.0,2100.6479669418914,0.0,884.8420330581085,474.11,0.0,189.4,0,0,0.0,3649,884.8420330581087
Data,46,0.0,0.0,2274.529652854492,0.0,626.7203471455082,427.15,0.0,192.6,0,0,0.0,3521,626.7203471455082
Data,47,0.0,0.0,2452.495472259924,0.0,443.3345277400758,385.77,0.0,189.4,0,0,0.0,3471,443.33452774007594
Data,48,0.0,0.0,2361.2062940999,0.0,634.8437059001,372.35,0.0,192.6,0,0,0.0,3561,634.8437059001001
Data,49,0.0,0.0,2594.1828805673917,0.0,374.7871194326085,376.83,0.0,186.2,0,0,0.0,3532,374.7871194326083
Data,50,0.0,0.0,2483.183293358656,0.0,562.4767066413436,408.14,0.0,186.2,0,0,0.0,3640,562.476706641344
Data,51,0.0,0.0,2890.5931731855558,0.0,178.6568268144442,446.15,0.0,192.6,0,0,0.0,3708,178.65682681444426
Data,52,0.0,0.0,2722.5156824701594,0.0,237.14431752984044,512.13,0.0,358.21,0,0,0.0,3830,237.14431752984063
Data,53,0.0,0.0,2670.1286959047766,0.0,80.97130409522347,553.5,0.0,540.4,0,0,0.0,3845,80.97130409522345
