Hour,65c,74c
1,1217.086281306344,0.0
2,926.8517612720772,0.0
3,630.5545487026579,0.0
4,666.6190451449872,0.0
5,727.6907943322369,0.0
6,567.2059670215255,0.0
7,190.58079724186254,0.0
8,76.00181178258924,0.0
9,0.0,0.0
10,1202.6479587258718,0.0
11,875.2332442641871,0.0
12,1707.0,0.0
13,1415.988063096399,0.0
14,1478.9931745137683,0.0
15,1376.9365204864134,0.0
16,768.6520481202094,0.0
17,555.8991974918517,0.0
18,1021.4504781339547,0.0
19,1180.6797817111255,0.0
20,1316.9388644634626,0.0
21,1179.8552583745438,0.0
22,772.876400730874,0.0
23,738.8842367138175,0.0
24,731.4897031881388,0.0
25,886.538748087914,0.0
26,919.5935746390272,0.0
27,1307.6766871678867,0.0
28,931.1121520574591,0.0
29,1026.0224213565866,0.0
30,619.7681470492445,0.0
31,790.9088649933819,0.0
32,847.5008030367396,0.0
33,184.03463700963718,0.0
34,737.6152559481177,0.0
35,291.7899310185506,0.0
36,379.2124625891643,0.0
37,997.1752844497368,0.0
38,285.3676636147328,0.0
39,212.78093718131586,0.0
40,18.620869592134312,0.0
41,79.92025907686337,0.0
42,452.72293768048456,0.0
43,748.407751937512,0.0
44,1009.9586681785978,0.0
45,884.8420330581085,0.0
46,626.7203471455082,0.0
47,443.3345277400758,0.0
48,634.8437059001,0.0
49,374.7871194326085,0.0
50,562.4767066413436,0.0
51,178.6568268144442,0.0
52,237.14431752984044,0.0
53,80.97130409522347,0.0
54,0.0,0.0
55,0.0,0.0
56,292.0336347233026,0.0
57,388.57161038977785,0.0
58,856.2038638080791,0.0
59,908.2176517742909,0.0
60,897.3450745297001,0.0
61,677.55804032584,0.0
62,727.4973851101731,0.0
63,384.4687227485885,0.0
64,37.02339156450759,0.0
65,247.4198445373615,0.0
66,633.386649804502,0.0
67,944.5952530925273,0.0
68,894.8774107184863,0.0
69,951.7930211393452,0.0
70,716.9311686376144,0.0
71,689.6920933517395,0.0
72,564.2394881870025,0.0
73,657.9579115152098,0.0
74,830.1591814653084,0.0
75,722.7445179877492,0.0
76,847.2470132001002,0.0
77,687.6397429042211,0.0
78,499.2397746686542,0.0
79,685.2565176025538,0.0
80,820.2795027626838,0.0
81,1422.935766211782,0.0
82,1707.0,0.0
83,1707.0,0.0
84,1707.0,0.0
85,1707.0,0.0
86,1156.5248891461254,0.0
87,1270.2596459732895,0.0
88,1399.487272093751,0.0
89,1538.0007310727224,0.0
90,1612.6482832212196,0.0
91,1707.0,0.0
92,1517.3115596062016,0.0
93,1342.5061872448143,0.0
94,806.1885193397902,0.0
95,477.64452927496507,0.0
96,357.47641538110867,0.0
97,323.3156244044216,0.0
98,378.6500724578225,0.0
99,678.3746047593168,0.0
100,629.1799677316795,0.0
101,575.4259334525069,0.0
102,398.697160804865,0.0
103,331.1933192567003,0.0
104,353.30339485555857,0.0
105,1223.6779717672314,0.0
106,1232.0763271355306,0.0
107,1707.0,0.0
108,1540.9192625494363,0.0
109,838.9790696890694,0.0
110,808.9018323176076,0.0
111,786.6918766170492,0.0
112,783.3664523455824,0.0
113,426.7107504376448,0.0
114,517.8722425991881,0.0
115,363.00088676979954,0.0
116,847.2891978174014,0.0
117,699.3848258994202,0.0
118,177.86246304783208,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,143.23560546455258,0.0
130,0.0,0.0
131,831.5415042777622,0.0
132,701.9640228297649,0.0
133,0.0,0.0
134,0.0,0.0
135,150.55227355135062,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,356.7763545848958,0.0
140,88.9072924080993,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,8.20018681200128,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,156.44445173159457,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,23.759695680935256,0.0
166,0.0,0.0
167,0.0,0.0
168,241.1609699182786,0.0
169,0.0,0.0
170,402.35044803944146,0.0
171,69.09508304014338,0.0
172,71.00669715283031,0.0
173,351.41505252432347,0.0
174,340.4197988175601,0.0
175,744.2361163280481,0.0
176,921.5542086230555,0.0
177,906.5593644862255,0.0
178,1385.173002006399,0.0
179,757.201806086487,0.0
180,1337.0969173253004,0.0
181,994.5696204400106,0.0
182,1150.6838395020488,0.0
183,779.8422264166298,0.0
184,495.4163260913034,0.0
185,816.6835316696119,0.0
186,884.6394941083593,0.0
187,926.4164552861357,0.0
188,1128.617472791939,0.0
189,1464.8657510323683,0.0
190,1707.0,0.0
191,1520.148558955546,0.0
192,1567.029226322993,0.0
193,1383.5039830949572,0.0
194,1459.9539367132047,0.0
195,1341.9084493006762,0.0
196,1242.59613092172,0.0
197,1304.6123280930083,0.0
198,1118.1350098638243,0.0
199,1399.2429096673657,0.0
200,711.1916977403465,0.0
201,946.5138873066658,0.0
202,1111.1377236398116,0.0
203,909.6520695831314,0.0
204,1338.2044730218945,0.0
205,1364.4599989370986,0.0
206,1438.6229895477406,0.0
207,1707.0,0.0
208,1645.6093893157433,0.0
209,1707.0,0.0
210,1707.0,0.0
211,1234.459510626409,0.0
