sc_gid,mean_cf,mean_lcoe,mean_res,capacity,latitude,longitude,lcot,total_lcoe,lcoe,trans_cap_cost,CAPEX_M,FOM_M,CAPEX_A,FOM_A,CAPEX_C,FOM_C,,
66,0,9.9,0,2594.27418,43.205,140.958,0,0,0,0,168946027,7000,0,0,0,0,,
67,0,9.9,0,3975.532114,42.934,141.601,0,0,0,0,121727633,7000,0,0,0,0,,
68,0,9.9,0,430.6826457,43.416,144.814,0,0,0,0,115979758,7000,0,0,0,0,,
71,0,9.9,0,7354.734411,43.806,142.323,0,0,0,0,125685488,7000,0,0,0,0,,
73,0,9.9,0,4273.697023,42.32,140.968,0,0,0,0,122627111,7000,0,0,0,0,,
74,0,9.9,0,12787.96163,42.765,141.816,0,0,0,0,158016824,7000,0,0,0,0,,
75,0,9.9,0,1093.271331,42.423,140.991,0,0,0,0,139718425,7000,0,0,0,0,,
77,0,9.9,0,4836.897405,43.09,144.154,0,0,0,0,158431573,7000,0,0,0,0,,
78,0,9.9,0,5333.83892,42.423,140.991,0,0,0,0,121784850,7000,0,0,0,0,,
79,0,9.9,0,927.6241599,43.163,142.904,0,0,0,0,119689575,7000,0,0,0,0,,
80,0,9.9,0,1855.24832,43.241,143.548,0,0,0,0,154112583,7000,0,0,0,0,,
