Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,71,73,74,75,77,78,79,80,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0.065919721,0,0.018406181,0,0,0,0,0,0,0.134537092,0,0,0,0,0,0.241511333,0,0.937166599,0.989514146,0.006023182,0,0,0,0,0,0,0,0,0,0,0.065919721,0,0.018406181,0,0,0,0,0,0,0.134537092,0,0,0,0,0,0.241511333,0,0.937166599,0.989514146,0.0767,0.3728,0,0.1559,0.00744,0.3604,0.10126,0.02403,0.1791,0.2988,0.1761,0.376,0,0,,3.076219128,0,16.66524902,0.728499426,0,0,2.99186779,0,130.9964967,0,234.16779,205.3738778
2,0,0,0,0,0,0,0,0,0,0,0,0.169451492,0,0.018406181,0,0,0,0,0,0,0.057023168,0,0,0,0,0.04007891,0.9371666,0,0.937166599,0.563655852,0.006023182,0,0,0,0,0,0,0,0,0,0,0.169451492,0,0.018406181,0,0,0,0,0,0,0.057023168,0,0,0,0,0.04007891,0.9371666,0,0.937166599,0.563655852,0.02344,0.5205,0,0.1422,0.02534,0.385,0.1185,0.05026,0.2605,0.3486,0.252,0.337,0,0,,1.788874428,0,24.91176114,0.423634968,0,0,0.737418942,0.337766706,295.5980436,0,136.1726048,68.02989556
3,0,0,0,0,0,0,0.00541473,0,0,0,0,0.075030902,0,0.430138857,0,0,0,0,0,0.04007891,0.169451492,0,0,0,0,0,0.535975258,0,1,1,0,0,0,0,0,0,0.00541473,0,0,0,0,0.075030902,0,0.430138857,0,0,0,0,0,0.04007891,0.169451492,0,0,0,0,0,0.535975258,0,1,1,0.03314,0.639,0,0.12274,0.07513,0.5386,0.1019,0.1328,0.2656,0.3655,0.3005,0.24,0,0,,0,0.56912101,11.89880804,10.67925744,0,12.19448278,2.363810224,0,182.3617514,0,156.7390471,130.1937221
4,0,0,0,0,0,0,0,0,0,0,0,0.123866562,0,0.024924903,0,0,0,0,0,0,0.21021573,0,0,0,0,0.04007891,0.980366719,0,0.890352266,1,0.04007891,0,0,0,0,0,0,0,0,0,0,0.123866562,0,0.024924903,0,0,0,0,0,0,0.21021573,0,0,0,0,0.04007891,0.980366719,0,0.890352266,1,0.0623,0.7617,0,0.0912,0.07495,0.588,0.10815,0.165,0.2362,0.3958,0.3577,0.226,0,0,,6.985072498,0,10.68597857,0.33663772,0,0,1.59525217,0.19820656,181.4573218,0,75.91646808,70.82506266
5,0,0,0,0,0,0,0,0,0,0,0,0.19586283,0,0.093845935,0,0,0,0,0,0.00864597,0.145644037,0,0,0,0,0.123866562,0.781312945,0,0.481856204,1,0,0,0,0,0,0,0,0,0,0,0,0.19586283,0,0.093845935,0,0,0,0,0,0.00864597,0.145644037,0,0,0,0,0.123866562,0.781312945,0,0.481856204,1,0.07465,0.8447,0,0.08875,0.04742,0.833,0.0907,0.2039,0.2087,0.42,0.3787,0.18,0,0,,0,0,31.01629828,2.326604104,0,2.626853664,2.028778168,1.124433882,265.4536362,0,75.4170087,130.0063871
6,0,0,0,0,0,0,0.134537092,0,0,0,0,0,0,0.21021573,0,0,0.032210908,0,0,0,0.123866562,0,0,0,0,0.024924903,0.455647313,0.024924903,0.923310496,0.258548822,0.00541473,0,0,0,0,0,0.134537092,0,0,0,0,0,0,0.21021573,0,0,0.032210908,0,0,0,0.123866562,0,0,0,0,0.024924903,0.455647313,0.024924903,0.923310496,0.258548822,0.2054,0.8457,0,0.09424,0.0712,0.872,0.1849,0.2258,0.2979,0.4463,0.5327,0.124,0,0,,2.452121098,19.98834492,0,7.377421384,2.065312128,0,2.442464676,0.320291688,219.1415988,37.0654795,204.5653038,47.58166194
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065919721,0,0,0,0,0,0.675372217,0.430138857,0,0,0,0,0,0.984418853,0.00541473,0.987369965,1,0.00864597,0,0,0,0,0,0,0,0,0,0,0,0,0.065919721,0,0,0,0,0,0.675372217,0.430138857,0,0,0,0,0,0.984418853,0.00541473,0.987369965,1,0.3162,0.8467,0,0.1378,0.142,0.872,0.634,0.1261,0.7485,0.4639,0.64,0.128,0,0,,1.708406724,0,0,1.009408996,0,126.73895,3.700797436,0,206.5800432,3.513382218,95.45013424,80.29887712
8,0,0,0,0,0,0,0.103575884,0,0,0,0,0.276559926,0,0.018406181,0,0,0.006023183,0,0,0.048385151,0.336591417,0,0,0,0,0.103575884,1,0,0.984418853,1,0.048385151,0,0,0,0,0,0.103575884,0,0,0,0,0.276559926,0,0.018406181,0,0,0.006023183,0,0,0.048385151,0.336591417,0,0,0,0,0.103575884,1,0,0.984418853,1,0.299,0.846,0,0.1547,0.4255,0.872,0.871,0.0756,0.872,0.51,0.5117,0.116,0,0,,12.53412866,8.80258852,35.46308356,0.369504738,0.220915254,11.90374293,3.796594362,0.761356042,275.1141734,0,124.7616407,105.2722719
9,0,0,0,0,0,0,0.182296542,0,0,0,0,0.241511333,0,0.991209634,0,0,0.024924903,0,0,0.21021573,0.336591417,0,0,0,0,1,0.974978577,0,0.992884029,1,0.048385151,0,0,0,0,0,0.182296542,0,0,0,0,0.241511333,0,0.991209634,0,0,0.024924903,0,0,0.21021573,0.336591417,0,0,0,0,1,0.974978577,0,0.992884029,1,0.3364,0.794,0,0.1772,0.2465,0.872,0.693,0.11597,0.7866,0.4866,0.4214,0.031,0,0,,13.11962311,16.21650991,32.41544376,20.82807138,0.95688636,54.13321968,3.97394095,7.694074,280.7600098,0,131.7124688,110.1897522
10,0,0,0,0,0,0,0.430138857,0,0,0,0,0.358590914,0,0.315577842,0,0,0.057023168,0,0,0.729705066,0.974978577,0,0,0,0,1,1,0.04007891,0.82892682,1,0.702798212,0,0,0,0,0,0.430138857,0,0,0,0,0.358590914,0,0.315577842,0,0,0.057023168,0,0,0.729705066,0.974978577,0,0,0,0,1,1,0.04007891,0.82892682,1,0.2281,0.7407,0,0.1815,0.03967,0.872,0.2129,0.1188,0.4644,0.3916,0.4666,0,0,0,,144.4813392,29.01078578,36.49098532,5.027613676,1.659778308,142.4681756,8.72740839,5.833486708,218.3293036,27.0562789,83.37126876,83.54357584
11,0,0,0,0,0,0,0.315577842,0,0,0,0,0.21021573,0,0.992884029,0,0,0.018406181,0,0,0.959520766,0.995039671,0,0,0,0,0.381546601,0.9371666,0,0.647588696,1,0.535975258,0,0,0,0,0,0.315577842,0,0,0,0,0.21021573,0,0.992884029,0,0,0.018406181,0,0,0.959520766,0.995039671,0,0,0,0,0.381546601,0.9371666,0,0.647588696,1,0.4507,0.6797,0,0.1381,0.001239,0.872,0.08673,0.0726,0.1263,0.3713,0.597,0.061,0,0,,121.4992791,23.46957182,23.58844806,17.44222039,0.590758902,206.5726062,9.821514682,2.45427741,225.6195246,0,71.82031854,92.12148042
12,0,0,0,0,0,0,0.455647312,0,0,0,0,0.258548822,0,0.057023168,0,0,0.00541473,0,0,0.295566358,0.82892682,0,0,0,0,1,1,0.093845935,0.258548822,1,0.276559926,0,0,0,0,0,0.455647312,0,0,0,0,0.258548822,0,0.057023168,0,0,0.00541473,0,0,0.295566358,0.82892682,0,0,0,0,1,1,0.093845935,0.258548822,1,0.63,0.7197,0,0.08,0.000545,0.872,0.0608,0.03546,0.1123,0.362,0.4797,0.106,0,0,,74.1778455,40.09437826,34.32675318,1.185251706,0.20562666,75.2886235,9.680778244,7.6108308,284.849777,82.6554483,33.92709204,108.9975948
13,0,0,0,0,0,0,0.82892682,0,0,0,0,0.405414998,0,0.093845935,0,0,0,0,0,0.702798212,0.980366719,0,0,0,0,1,1,0.093845935,0.455647313,1,0.04007891,0,0,0,0,0,0.82892682,0,0,0,0,0.405414998,0,0.093845935,0,0,0,0,0,0.702798212,0.980366719,0,0,0,0,1,1,0.093845935,0.455647313,1,0.705,0.7104,0,0.05338,0,0.872,0.03235,0.02588,0.06305,0.357,0.5205,0.148,0,0,,8.894185792,60.34984984,44.5343694,1.61391273,0,148.1188517,9.473009482,6.297053734,235.6791786,68.38751416,49.4695795,90.18249504
14,0,0,0,0,0,0,0.591579561,0,0,0,0,0.276559926,0,0,0,0,0,0,0,0.729705066,0.82892682,0,0,0,0,1,1,0.123866562,0.974978577,0.984418853,0,0,0,0,0,0,0.591579561,0,0,0,0,0.276559926,0,0,0,0,0,0,0,0.729705066,0.82892682,0,0,0,0,1,1,0.123866562,0.974978577,0.984418853,0.8403,0.5264,0,0.0409,0,0.872,0.011635,0.03494,0.04657,0.3696,0.419,0.164,0,0,,0,43.74120636,30.853351,0,0,156.1869136,8.13454372,6.395212692,239.3529638,91.6712238,107.5033685,90.16121652
