*Hour,OtherRenewables
1,540.4
2,537.2
3,540.4
4,537.2
5,537.2
6,537.2
7,235.9297
8,35.2
9,35.2
10,38.4
11,38.4
12,41.6
13,41.6
14,38.4
15,38.4
16,41.6
17,38.4
18,38.4
19,189.4
20,192.6
21,189.4
22,189.4
23,189.4
24,543.6
25,537.2
26,537.2
27,537.2
28,540.4
29,537.2
30,537.2
31,189.4
32,35.2
33,35.2
34,38.4
35,35.2
36,38.4
37,35.2
38,41.6
39,38.4
40,38.4
41,41.6
42,38.4
43,192.6
44,189.4
45,189.4
46,192.6
47,189.4
48,192.6
49,186.2
50,186.2
51,192.6
52,358.21
53,540.4
54,543.6
55,540.4
56,38.4
57,41.6
58,38.4
59,41.6
60,3.2
61,0
62,0
63,0
64,0
65,454.8324
66,502
67,502
68,502
69,502
70,502
71,508.4
72,540.4
73,537.2
74,537.2
75,537.2
76,537.2
77,537.2
78,537.2
79,534
80,537.2
81,537.2
82,321.3762
83,358.4812
84,273.2253
85,186.2
86,494.7977
87,540.4
88,540.4
89,540.4
90,537.2
91,540.4
92,540.4
93,540.4
94,540.4
95,540.4
96,540.4
97,537.2
98,537.2
99,537.2
100,540.4
101,537.2
102,537.2
103,537.2
104,537.2
105,186.2
106,534
107,186.2
108,186.2
109,537.2
110,189.4
111,189.4
112,192.6
113,543.6
114,543.6
115,543.6
116,543.6
117,546.8
118,543.6
119,543.6
120,543.6
121,189.4
122,456.8499
123,540.4
124,540.4
125,189.4
126,38.4
127,38.4
128,38.4
129,38.4
130,41.6
131,38.4
132,41.6
133,38.4
134,44.8
135,41.6
136,44.8
137,44.8
138,41.6
139,44.8
140,192.6
141,195.8
142,195.8
143,192.6
144,195.8
145,189.4
146,189.4
147,192.6
148,189.4
149,189.4
150,192.6
151,189.4
152,38.4
153,41.6
154,38.4
155,38.4
156,41.6
157,38.4
158,41.6
159,44.8
160,41.6
161,195.8
162,192.6
163,192.6
164,195.8
165,192.6
166,195.8
167,192.6
168,192.6
169,543.6
170,540.4
171,540.4
172,540.4
173,543.6
174,540.4
175,540.4
176,38.4
177,41.6
178,38.4
179,38.4
180,41.6
181,38.4
182,41.6
183,44.8
184,41.6
185,41.6
186,44.8
187,192.6
188,192.6
189,195.8
190,192.6
191,543.6
192,546.8
193,189.4
194,189.4
195,189.4
196,192.6
197,189.4
198,189.4
199,38.4
200,41.6
201,38.4
202,38.4
