*Hour,Load
639,3148
640,3025
641,3071
642,3083
643,3254
644,3322
645,3155
646,2954
647,2812
648,2807
649,2712
650,2737
651,2887
652,2982
653,3020
654,2990
655,3108
656,3179
657,3347
658,3445
659,3418
660,3494
661,3266
662,3320
663,3330
664,3255
665,3210
666,3171
667,3217
668,3189
669,3007
670,2841
671,2682
672,2655
673,2572
674,2617
675,2725
676,2827
677,2833
678,2807
679,2671
680,2637
681,2785
682,2861
683,2928
684,2811
685,2737
686,2737
687,2739
688,2731
689,2804
690,2920
691,3054
692,3062
693,2930
694,2809
695,2697
696,2666
697,2608
698,2656
699,2787
700,2865
701,2879
702,2873
703,2769
704,2684
705,2772
706,2764
707,2587
708,2583
709,2609
710,2515
711,2546
712,2604
713,2658
714,2749
715,2912
716,3016
717,2876
718,2726
719,2574
720,2554
721,2448
722,2480
723,2608
724,2725
725,2743
726,2788
727,2815
728,2813
729,3021
730,3187
731,3216
732,3172
733,3031
734,2990
735,2938
736,2877
737,2947
738,3001
739,3073
740,3118
741,2947
742,2782
743,2630
744,2581
745,2467
746,2529
747,2676
748,2783
749,2820
750,2865
751,2789
752,2701
753,2881
754,3075
755,3099
756,3090
757,2932
758,2899
759,2781
760,2726
761,2877
762,2912
763,2976
764,3061
765,2899
766,2763
767,2621
768,2618
769,2503
770,2562
771,2688
772,2807
773,2777
774,2745
775,2688
776,2696
777,2780
778,2759
779,2712
780,2641
781,2637
782,2523
783,2535
784,2547
785,2653
786,2746
787,2891
788,2967
789,2807
790,2695
791,2570
792,2541
793,2474
794,2511
795,2689
796,2745
797,2727
798,2694
799,2675
800,2634
801,2733
802,2771
803,2781
804,2768
805,2719
806,2621
807,2581
808,2531
809,2656
810,2710
811,2833
812,2889
813,2738
814,2620
815,2455
816,2448
817,2394
818,2414
819,2554
820,2644
821,2644
822,2648
823,2525
824,2494
825,2619
826,2688
827,2724
828,2776
829,2728
830,2649
831,2560
832,2464
833,2614
834,2710
835,2828
836,2856
837,2766
838,2634
839,2507
840,2467
841,2382
842,2412
843,2533
844,2623
845,2603
846,2610
847,2562
848,2523
849,2700
850,2679
851,2686
852,2798
853,2730
854,2648
855,2611
856,2633
857,2700
858,2792
859,2927
860,2971
861,2860
862,2694
863,2549
864,2528
865,2455
866,2488
867,2609
868,2725
869,2688
870,2682
871,2531
872,2439
873,2526
874,2655
875,2744
876,2728
877,2630
878,2529
879,2418
880,2394
881,2509
882,2684
883,2842
884,2970
885,2824
886,2661
887,2523
888,2472
889,2390
890,2476
891,2617
892,2724
893,2768
894,2768
895,2765
896,2883
897,3134
898,3310
899,3260
900,3212
901,3115
902,3223
903,3211
904,3188
905,3211
906,3149
907,3211
908,3258
909,3097
910,2914
911,2755
912,2681
913,2585
914,2644
915,2822
916,2916
917,2934
918,3012
919,3095
920,3029
921,3316
922,3429
923,3459
924,3436
925,3309
926,3399
927,3273
928,3147
929,3180
930,3138
931,3173
932,3222
933,3054
934,2868
935,2726
936,2680
937,2592
938,2615
939,2761
940,2892
941,2891
942,2920
943,2934
944,3026
945,3219
946,3359
947,3286
948,3299
949,3133
950,3223
951,3090
952,3044
953,3100
954,3063
955,3115
956,3190
957,3037
958,2864
959,2734
960,2685
961,2587
962,2621
963,2766
964,2891
965,2913
966,2937
967,2932
968,3025
969,3295
970,3496
971,3500
972,3410
973,3185
974,3265
975,3157
976,3116
977,3225
978,3214
979,3265
980,3345
981,3182
982,3016
983,2907
984,2887
985,2755
986,2809
987,2932
988,3056
989,3118
990,3177
991,3145
992,3227
993,3354
994,3520
995,3551
996,3506
997,3348
998,3464
999,3319
1000,3297
1001,3268
1002,3180
1003,3211
1004,3299
1005,3129
1006,2954
1007,2820
1008,2797
1009,2703
1010,2750
1011,2874
1012,3018
1013,2996
1014,2949
1015,2833
1016,2748
1017,2927
1018,3048
1019,3063
1020,3033
1021,2926
1022,2892
1023,2783
1024,2733
1025,2831
1026,2865
1027,2955
1028,3038
1029,2897
1030,2749
1031,2684
1032,2631
1033,2557
1034,2597
1035,2717
1036,2808
1037,2816
1038,2768
1039,2685
1040,2649
1041,2722
1042,2822
1043,2796
1044,2819
1045,2788
1046,2694
1047,2612
1048,2582
1049,2686
1050,2801
1051,2907
1052,3001
1053,2868
1054,2698
1055,2555
1056,2532
1057,2466
1058,2508
1059,2666
1060,2778
1061,2784
1062,2819
1063,2820
1064,2923
1065,3167
1066,3348
1067,3400
1068,3362
1069,3047
1070,3188
1071,3237
1072,3217
1073,3225
1074,3178
1075,3226
1076,3217
1077,3023
1078,2843
1079,2681
1080,2638
1081,2541
1082,2588
1083,2729
1084,2853
1085,2876
1086,2861
1087,2862
1088,2930
1089,3157
1090,3329
1091,3301
1092,3312
1093,3120
1094,3176
1095,3108
1096,3145
1097,3199
1098,3110
1099,3136
1100,3192
1101,3044
1102,2849
1103,2716
1104,2674
1105,2566
1106,2602
1107,2722
1108,2836
1109,2816
1110,2829
1111,2826
1112,2906
1113,3145
1114,3295
1115,3262
1116,3256
1117,3103
1118,3218
1119,3176
1120,3133
1121,3211
1122,3113
1123,3085
1124,3164
1125,3013
1126,2795
1127,2646
1128,2621
1129,2518
1130,2572
1131,2736
1132,2846
1133,2824
1134,2779
1135,2768
1136,2880
1137,3106
1138,3250
1139,3323
1140,3395
1141,3280
1142,3391
1143,3260
1144,3187
1145,3228
1146,3162
1147,3153
1148,3202
1149,2997
1150,2800
1151,2674
1152,2649
1153,2560
1154,2602
1155,2782
1156,2914
1157,2896
1158,2867
1159,2826
1160,2862
1161,3051
1162,3206
1163,3315
1164,3329
1165,3038
1166,3137
1167,3193
1168,3133
1169,3124
1170,3074
1171,3063
1172,3138
1173,2991
1174,2787
1175,2698
1176,2676
1177,2554
1178,2555
1179,2717
1180,2819
1181,2772
1182,2766
1183,2669
1184,2626
1185,2761
1186,2860
1187,2851
1188,2923
1189,2857
1190,2865
1191,2762
1192,2627
1193,2701
1194,2734
1195,2799
1196,2879
1197,2737
1198,2586
1199,2490
1200,2410
1201,2352
1202,2389
1203,2498
1204,2640
1205,2644
1206,2574
1207,2549
1208,2615
1209,2734
1210,2827
1211,2870
1212,2907
1213,2876
1214,2765
1215,2740
1216,2695
1217,2762
1218,2857
1219,2916
1220,3011
1221,2889
1222,2756
1223,2577
1224,2523
1225,2428
1226,2448
1227,2613
1228,2737
1229,2751
1230,2763
1231,2807
1232,2863
1233,3123
1234,3374
1235,3498
1236,3522
1237,3284
1238,3302
1239,3194
1240,3127
1241,3149
1242,3072
1243,3118
1244,3206
1245,3052
1246,2861
1247,2763
1248,2667
1249,2579
1250,2589
1251,2718
1252,2842
1253,2846
1254,2893
1255,2844
1256,2920
1257,3167
1258,3208
1259,3195
1260,3223
1261,3019
1262,3149
1263,3059
1264,3013
1265,3151
1266,3119
1267,3122
1268,3222
1269,3040
1270,2860
1271,2694
1272,2636
1273,2499
1274,2572
1275,2717
1276,2843
1277,2854
1278,2836
1279,2807
1280,2804
1281,3108
1282,3305
1283,3316
1284,3279
1285,3112
1286,3164
1287,3053
1288,2997
1289,3089
1290,3077
1291,3060
1292,3173
1293,3013
1294,2819
1295,2659
1296,2589
1297,2490
1298,2527
1299,2651
1300,2754
1301,2752
1302,2816
1303,2815
1304,2829
1305,3135
1306,3344
1307,3388
1308,3414
1309,3200
1310,3240
1311,3143
1312,3110
1313,3187
1314,3102
1315,3053
1316,3144
1317,2976
1318,2789
1319,2647
1320,2565
1321,2483
1322,2521
1323,2657
1324,2784
1325,2731
1326,2783
1327,2776
1328,2836
1329,3142
1330,3375
1331,3487
1332,3505
1333,3304
1334,3431
1335,3354
1336,3225
1337,3219
1338,3162
1339,3129
1340,3155
1341,2959
1342,2753
1343,2602
1344,2582
1345,2485
1346,2471
1347,2585
1348,2714
1349,2706
1350,2691
1351,2549
1352,2476
1353,2678
1354,2843
1355,2942
1356,2998
1357,2879
1358,2841
1359,2739
1360,2734
1361,2786
1362,2820
1363,2821
1364,2932
1365,2828
1366,2677
1367,2612
1368,2517
1369,2440
1370,2486
1371,2608
1372,2741
1373,2712
1374,2637
1375,2469
1376,2461
1377,2659
1378,2748
1379,2934
1380,2950
1381,2854
1382,2817
1383,2802
1384,2798
1385,2841
1386,2915
1387,2962
1388,2970
1389,2842
1390,2672
1391,2513
1392,2440
1393,2372
1394,2438
1395,2571
1396,2707
1397,2727
1398,2705
1399,2727
1400,2836
1401,3099
1402,3271
1403,3268
1404,3268
1405,3065
1406,3191
1407,3146
1408,3111
1409,3160
1410,3073
1411,3051
1412,3097
1413,2950
1414,2761
1415,2610
1416,2527
1417,2412
1418,2415
1419,2560
1420,2702
1421,2700
1422,2712
1423,2677
1424,2738
1425,3019
1426,3282
1427,3306
1428,3197
1429,3006
1430,3111
1431,3067
1432,3023
1433,3064
1434,3016
1435,3013
1436,3066
1437,2918
1438,2738
1439,2617
1440,2545
1441,2405
1442,2413
1443,2582
1444,2715
1445,2746
1446,2788
1447,2772
1448,2803
1449,3046
1450,3227
1451,3334
1452,3297
1453,3051
1454,3114
1455,3053
1456,2983
1457,3037
1458,2995
1459,2951
1460,3046
1461,2911
1462,2716
1463,2545
1464,2489
1465,2396
1466,2418
1467,2559
1468,2719
1469,2728
1470,2815
1471,2850
1472,2848
1473,3072
1474,3341
1475,3393
1476,3346
1477,3111
1478,3180
1479,3161
1480,3155
1481,3203
1482,3103
1483,3042
1484,3084
1485,2937
1486,2748
1487,2616
1488,2530
1489,2424
1490,2439
1491,2534
1492,2704
1493,2750
1494,2690
1495,2728
1496,2789
1497,2953
1498,3381
1499,3408
1500,3391
1501,3112
1502,3166
1503,3249
1504,3180
1505,3161
1506,3115
1507,3076
1508,3086
1509,2923
1510,2754
1511,2627
1512,2560
1513,2449
1514,2447
1515,2579
1516,2734
1517,2712
1518,2686
1519,2684
1520,2682
1521,2787
1522,3074
1523,3029
1524,2914
1525,2822
1526,2843
1527,2762
1528,2720
1529,2806
1530,2782
1531,2801
1532,2883
1533,2762
1534,2604
1535,2534
1536,2491
1537,2402
1538,2394
1539,2526
1540,2655
1541,2693
1542,2676
1543,2612
1544,2565
1545,2646
1546,2736
1547,2806
1548,2844
1549,2824
1550,2755
1551,2636
1552,2591
1553,2746
1554,2806
1555,2852
1556,2973
1557,2878
1558,2713
1559,2562
1560,2469
1561,2344
1562,2399
1563,2550
1564,2686
1565,2715
1566,2817
1567,2774
1568,2821
1569,3140
1570,3355
1571,3253
1572,3274
1573,3103
1574,3105
1575,3050
1576,3094
1577,3134
1578,3059
1579,3000
1580,3064
1581,2944
1582,2746
1583,2622
1584,2507
1585,2422
1586,2439
1587,2606
1588,2751
1589,2783
1590,2866
1591,2825
1592,2837
1593,3092
1594,3308
1595,3385
1596,3464
1597,3222
1598,3305
1599,3195
1600,3090
1601,3158
1602,3078
1603,3029
1604,3084
1605,2945
1606,2755
1607,2578
1608,2467
1609,2391
1610,2397
1611,2539
1612,2693
1613,2690
1614,2645
1615,2693
1616,2779
1617,3054
1618,3291
1619,3285
1620,3364
1621,3197
1622,3278
1623,3258
1624,3155
1625,3136
1626,3098
1627,3083
1628,3131
1629,2986
1630,2805
1631,2633
1632,2523
1633,2423
1634,2453
1635,2617
1636,2716
1637,2752
1638,2695
1639,2707
1640,2800
1641,3101
1642,3344
1643,3417
1644,3426
1645,3237
1646,3310
1647,3256
1648,3231
1649,3305
1650,3205
1651,3118
1652,3144
1653,2999
1654,2789
1655,2672
1656,2566
1657,2477
1658,2438
1659,2578
1660,2708
1661,2718
1662,2695
1663,2763
1664,2949
1665,3203
1666,3309
1667,3308
1668,3287
1669,3127
1670,3243
1671,3250
1672,3216
1673,3238
1674,3146
1675,3100
1676,3097
1677,2941
1678,2735
1679,2635
1680,2565
1681,2466
1682,2469
1683,2592
1684,2716
1685,2743
1686,2668
1687,2622
1688,2656
1689,2768
1690,2807
1691,2809
1692,2785
1693,2743
1694,2724
1695,2741
1696,2722
1697,2778
1698,2804
1699,2804
1700,2871
1701,2783
1702,2621
1703,2529
1704,2470
1705,2399
1706,2396
1707,2498
1708,2624
1709,2663
1710,2641
1711,2519
1712,2517
1713,2576
1714,2640
1715,2668
1716,2763
1717,2725
1718,2667
1719,2675
1720,2697
1721,2745
1722,2832
1723,2813
1724,2931
1725,2830
1726,2698
1727,2536
1728,2462
1729,2357
1730,2372
1731,2536
1732,2677
1733,2722
1734,2732
1735,2734
1736,2811
1737,3051
1738,3242
1739,3288
1740,3350
1741,3187
1742,3268
1743,3271
1744,3237
1745,3293
1746,3184
1747,3105
1748,3122
1749,2972
1750,2787
1751,2645
1752,2554
1753,2461
1754,2472
1755,2610
1756,2738
1757,2786
1758,2727
1759,2743
1760,2843
1761,3126
1762,3303
1763,3223
1764,3253
1765,3134
1766,3217
1767,3208
1768,3139
1769,3195
1770,3119
1771,3083
1772,3072
1773,2924
1774,2717
1775,2574
1776,2497
1777,2394
1778,2411
1779,2535
1780,2700
1781,2704
1782,2669
1783,2666
1784,2782
1785,3137
1786,3282
1787,3297
1788,3243
1789,3132
1790,3252
1791,3185
1792,3134
1793,3193
1794,3122
1795,3050
1796,3086
1797,2970
1798,2790
1799,2649
1800,2540
1801,2414
1802,2399
1803,2504
1804,2620
1805,2639
1806,2630
1807,2658
1808,2798
1809,3042
1810,3230
1811,3290
1812,3299
1813,3168
1814,3256
1815,3272
1816,3204
1817,3229
1818,3156
1819,3083
1820,3125
1821,2988
1822,2788
1823,2666
1824,2600
1825,2484
1826,2485
1827,2612
1828,2724
1829,2765
1830,2745
1831,2793
1832,2872
1833,3161
1834,3412
1835,3433
1836,3407
1837,3188
1838,3335
1839,3319
1840,3289
1841,3323
1842,3219
1843,3134
1844,3155
1845,3038
1846,2848
1847,2722
1848,2637
1849,2507
1850,2482
1851,2606
1852,2697
1853,2725
1854,2746
1855,2711
1856,2740
1857,2935
1858,3028
1859,3046
1860,3179
1861,3047
1862,2990
1863,2832
1864,2833
1865,2983
1866,2987
1867,2933
1868,3007
1869,2908
1870,2745
1871,2602
1872,2491
1873,2378
1874,2398
1875,2470
1876,2583
1877,2617
1878,2718
1879,2636
1880,2589
1881,2707
1882,2827
1883,2887
1884,2875
1885,2749
1886,2633
1887,2576
1888,2659
1889,2723
1890,2805
1891,2798
1892,2857
1893,2781
1894,2630
1895,2501
1896,2432
1897,2308
1898,2339
1899,2419
1900,2595
1901,2627
1902,2622
1903,2674
1904,2759
1905,3026
1906,3202
1907,3224
1908,3226
1909,3021
1910,3050
1911,3026
1912,3038
1913,3122
1914,3076
1915,3017
1916,3044
1917,2897
1918,2719
1919,2571
1920,2488
1921,2397
1922,2378
1923,2503
1924,2611
1925,2651
1926,2744
1927,2735
1928,2785
1929,3035
1930,3297
1931,3333
1932,3367
1933,3162
1934,3224
1935,3150
1936,3124
1937,3250
1938,3176
1939,3060
1940,3099
1941,2968
1942,2766
1943,2561
1944,2466
1945,2367
1946,2371
1947,2486
1948,2604
1949,2632
1950,2718
1951,2721
1952,2795
1953,3140
1954,3394
1955,3450
1956,3480
1957,3284
1958,3327
1959,3281
1960,3219
1961,3337
1962,3215
1963,3102
1964,3128
1965,3007
1966,2804
1967,2641
1968,2508
1969,2378
