Hour,65c,74c
1,1695.2031041891437,0.0
2,1578.404367159352,0.0
3,1423.081048917902,0.0
4,1358.6246014694586,0.0
5,1178.35929248126,0.0
6,987.9083572620054,0.0
7,881.5478544122525,0.0
8,517.4442959575708,0.0
9,206.01699207599995,0.0
10,620.4386956722578,0.0
11,127.41790017256608,0.0
12,316.89625980035566,0.0
13,32.94002466045208,0.0
14,406.9140023881089,0.0
15,370.21504004895587,0.0
16,252.95452890537308,0.0
17,519.68888268399,0.0
18,1176.5525804305385,0.0
19,1448.5774562813908,0.0
20,1361.1242171583704,0.0
21,1173.6141845072757,0.0
22,1005.7321714329493,0.0
23,780.1663046281535,0.0
24,821.6858222009802,0.0
25,826.0216629642881,0.0
26,940.0012973677078,0.0
27,999.1773618159326,0.0
28,860.9850138809562,0.0
29,933.699323537492,0.0
30,606.9070173289288,0.0
31,881.434249201186,0.0
32,293.63043549257145,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,414.27823846137017,0.0
43,1137.7762695424703,0.0
44,1342.2449558281066,0.0
45,1221.0654307591776,0.0
46,1049.219535330445,0.0
47,955.2155916325016,0.0
48,1077.7904888602566,0.0
49,719.3214864507678,0.0
50,984.4159864020806,0.0
51,784.2462627068016,0.0
52,806.6689739353695,0.0
53,575.86928546861,0.0
54,106.4826538015916,0.0
55,339.97762055322505,0.0
56,223.65617200650468,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,628.3468948798211,0.0
68,783.2114777872082,0.0
69,789.8641968852012,0.0
70,599.461908119479,0.0
71,634.0370925330692,0.0
72,644.6269580811922,0.0
73,599.3510648939508,0.0
74,696.9924863060253,0.0
75,668.7409783387143,0.0
76,684.6782955591912,0.0
77,633.5361250341808,0.0
78,516.4501887375563,0.0
79,602.478582658654,0.0
80,296.8321630491773,0.0
81,175.83158861066272,0.0
82,301.45685160784046,0.0
83,88.29539213520559,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,46.874851234470725,0.0
89,628.7071519511234,0.0
90,1192.4591019406737,0.0
91,1615.8302029480888,0.0
92,1477.4497034893159,0.0
93,1325.8798425023924,0.0
94,919.123311685981,0.0
95,678.358043545491,0.0
96,581.7320578227063,0.0
97,512.2581463717584,0.0
98,508.09791419090936,0.0
99,624.0307191943739,0.0
100,644.0021218819649,0.0
101,539.69564007898,0.0
102,315.97191486177564,0.0
103,168.2249335209283,0.0
104,0.0,0.0
105,404.3427724279529,0.0
106,0.0,0.0
107,60.176026320907795,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,248.38522900742964,0.0
116,735.4124706918454,0.0
117,680.6402521411854,0.0
118,378.9667939490863,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,115.42182923463528,0.0
125,676.252333952491,0.0
126,620.041760260341,0.0
127,831.8324152717171,0.0
128,361.21417643109,0.0
129,770.2295923468423,0.0
130,699.8213259405334,0.0
131,106.09173839967798,0.0
132,372.37769804987965,0.0
133,0.0,0.0
134,0.0,0.0
135,111.71164841989685,0.0
136,137.20560546004208,0.0
137,86.0598334140891,0.0
138,517.2128076684348,0.0
139,860.7671613339321,0.0
140,683.248913333924,0.0
141,562.062804871842,0.0
142,301.4820638136225,0.0
143,218.82774546240324,0.0
144,143.6688406625826,0.0
145,0.0,0.0
146,211.47877158928145,0.0
147,0.0,0.0
148,290.80075492284965,0.0
149,124.85461690648116,0.0
150,86.11164590279733,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,377.05675913501767,0.0
166,156.22247149419246,0.0
167,76.22147797274528,0.0
168,432.24876980061487,0.0
169,0.0,0.0
170,170.89669233023443,0.0
171,164.2630002772146,0.0
172,216.02984021697407,0.0
173,452.8370222308168,0.0
174,522.3177822337973,0.0
175,586.1567071645616,0.0
176,468.2566586871412,0.0
177,646.8924687657441,0.0
178,981.0273122248866,0.0
179,602.9432597530947,0.0
180,916.4866020901345,0.0
181,197.56619523983795,0.0
182,409.62135574292915,0.0
183,224.47690456371402,0.0
184,249.71993302333158,0.0
