*Hour,Load
1,3510
2,3674
3,3796
4,3926
5,3998
6,3959
7,4027
8,3882
9,4063
10,4203
11,4034
12,4083
13,3813
14,3901
15,3912
16,3902
17,3991
18,4081
19,4229
20,4153
21,4013
22,3836
23,3715
24,3786
25,3699
26,3866
27,3969
28,4053
29,4098
30,3982
31,3864
32,3696
33,3656
34,3649
35,3618
36,3555
37,3380
38,3296
39,3142
40,3160
41,3324
42,3543
43,3799
44,3788
45,3649
46,3521
47,3471
48,3561
49,3532
50,3640
51,3708
52,3830
53,3845
54,3705
55,3499
56,3247
57,3201
58,3238
59,3244
60,3271
61,3153
62,3004
63,2847
64,2911
65,3120
66,3396
67,3708
68,3715
69,3596
70,3414
71,3251
72,3325
73,3270
74,3425
75,3555
76,3670
77,3769
78,3714
79,3652
80,3497
81,3602
82,3724
83,3700
84,3678
85,3464
86,3482
87,3402
88,3379
89,3537
90,3682
91,3860
92,3794
93,3611
94,3501
95,3342
96,3391
97,3276
98,3424
99,3551
100,3638
101,3693
102,3628
103,3504
104,3425
105,3591
106,3676
107,3609
108,3591
109,3362
110,3430
111,3336
112,3325
113,3489
114,3597
115,3787
116,3699
117,3541
118,3398
119,3210
120,3240
121,3184
122,3263
123,3373
124,3501
125,3557
126,3550
127,3621
128,3661
129,3963
130,4138
131,4159
132,4157
133,3880
134,3749
135,3633
136,3606
137,3715
138,3796
139,3980
140,3929
141,3760
142,3575
143,3407
144,3426
145,3393
146,3467
147,3638
148,3718
149,3792
150,3736
151,3672
152,3560
153,3737
154,3891
155,3828
156,3818
157,3544
158,3596
159,3669
160,3743
161,3860
162,3908
163,4004
164,3911
165,3751
166,3594
167,3438
168,3558
169,3470
170,3586
171,3694
172,3814
173,3854
174,3799
175,3917
176,3776
177,3844
178,3957
179,3968
180,4043
181,3685
182,3667
183,3518
184,3476
185,3659
186,3717
187,3893
188,3826
189,3655
190,3504
191,3444
192,3486
193,3413
194,3504
195,3611
196,3674
197,3680
198,3581
199,3455
200,3227
201,3285
202,3356
203,3318
204,3339
205,3233
206,3097
207,3062
208,3112
209,3255
210,3414
211,3600
212,3554
213,3412
214,3312
215,3159
216,3190
217,3124
218,3239
219,3307
220,3417
221,3454
222,3371
223,3244
224,3015
225,3019
226,3036
227,3000
228,2995
229,3085
230,3055
231,3039
232,3089
233,3168
234,3352
235,3539
236,3522
237,3391
238,3247
239,3108
240,3120
241,3070
242,3179
243,3324
244,3412
245,3439
246,3405
247,3504
248,3504
249,3654
250,3742
251,3617
252,3582
253,3359
254,3480
255,3425
256,3425
257,3522
258,3516
259,3672
260,3623
261,3434
262,3265
263,3098
264,3078
265,3018
266,3127
267,3257
268,3370
269,3404
270,3376
271,3430
272,3327
273,3552
274,3618
275,3585
276,3579
277,3313
278,3455
279,3488
280,3492
281,3554
282,3616
283,3713
284,3622
285,3437
286,3276
287,3090
288,3077
289,3026
290,3124
291,3276
292,3382
293,3424
294,3448
295,3530
296,3529
297,3787
298,3911
299,3912
300,3925
301,3735
302,3867
303,3812
304,3780
305,3791
306,3820
307,3929
308,3858
309,3672
310,3492
311,3335
312,3356
313,3256
314,3378
315,3502
316,3591
317,3663
318,3597
319,3568
320,3507
321,3677
322,3803
323,3799
324,3758
325,3545
326,3617
327,3595
328,3607
329,3655
330,3718
331,3921
332,3873
333,3704
334,3508
335,3382
336,3396
337,3350
338,3417
339,3515
340,3640
341,3767
342,3690
343,3727
344,3635
345,3876
346,4000
347,3944
348,3866
349,3719
350,3749
351,3645
352,3596
353,3645
354,3739
355,3949
356,3957
357,3761
358,3580
359,3485
360,3507
361,3380
362,3451
363,3600
364,3708
365,3723
366,3609
367,3466
368,3260
369,3292
370,3334
371,3315
372,3237
373,3083
374,3021
375,2925
376,2918
377,3089
378,3305
379,3569
380,3612
381,3472
382,3289
383,3173
384,3291
385,3269
386,3367
387,3479
388,3553
389,3590
390,3401
391,3247
392,3070
393,3168
394,3223
395,3287
396,3235
397,3189
398,3197
399,3174
400,3142
401,3180
402,3358
403,3594
404,3627
405,3468
406,3347
407,3144
408,3123
409,3125
410,3253
411,3369
412,3458
413,3500
414,3438
415,3529
416,3585
417,3720
418,3834
419,3894
420,3898
421,3625
422,3745
423,3807
424,3821
425,3848
426,3851
427,3917
428,3838
429,3633
430,3445
431,3311
432,3311
433,3226
434,3321
435,3436
436,3549
437,3617
438,3532
439,3536
440,3435
441,3585
442,3688
443,3699
444,3659
445,3428
446,3471
447,3375
448,3346
449,3476
450,3532
451,3707
452,3745
453,3561
454,3391
455,3172
456,3222
457,3173
458,3258
459,3348
460,3474
461,3554
462,3449
463,3470
464,3383
465,3537
466,3691
467,3649
468,3649
469,3441
470,3476
471,3417
472,3396
473,3497
474,3545
475,3688
476,3670
477,3488
478,3315
479,3168
480,3200
481,3111
482,3209
483,3347
484,3468
485,3484
486,3432
487,3408
488,3288
489,3416
490,3555
491,3558
492,3557
493,3338
494,3439
495,3372
496,3351
497,3481
498,3510
499,3625
500,3636
501,3428
502,3261
503,3144
504,3124
505,3073
506,3155
507,3277
508,3413
509,3419
510,3404
511,3358
512,3399
513,3641
514,3832
515,3819
516,3666
517,3394
518,3451
519,3486
520,3486
521,3562
522,3559
523,3669
524,3605
525,3369
526,3203
527,3169
528,3157
529,3104
530,3149
531,3242
532,3372
533,3361
534,3229
535,3140
536,2987
537,3070
538,3250
539,3313
540,3347
